cpu	memory	committed	bwin	bwout	nchan
2.2	82.3	105.6	1.7	7.2	1
0.0	82.3	105.6	1.9	1.8	1
16.5	98.8	119.9	1.8	1.9	1
0.6	99.8	120.2	0.1	0.4	1
0.0	99.9	120.2	0.7	0.8	1
0.0	99.9	120.2	1.9	2.3	1
0.0	99.9	120.2	1.7	2.2	1
0.0	99.9	120.2	2.3	2.0	1
0.0	100.0	120.2	2.7	1.9	1
0.0	100.0	120.2	2.8	1.9	1
0.9	100.0	120.2	1.8	1.8	1
0.9	100.0	120.2	2.1	2.1	2
0.6	100.0	120.2	3.9	7.6	2
1.2	100.0	120.2	3.9	5.4	2
0.9	100.9	121.1	2.5	4.1	2
2.5	101.0	121.1	5.3	6.0	2
1.2	101.0	121.1	5.1	5.1	2
2.2	101.0	121.1	5.4	5.2	2
1.2	101.0	121.1	5.4	5.2	2
0.6	101.0	121.1	4.7	5.2	2
0.3	101.0	121.1	4.3	5.3	2
0.3	101.0	121.1	5.0	5.3	2
2.5	101.0	121.1	4.2	5.2	2
4.7	105.5	125.2	4.6	5.0	2
0.9	105.5	125.2	5.1	5.5	2
1.9	105.5	125.2	5.1	5.1	2
4.4	105.6	125.2	5.3	6.6	2
3.7	105.6	125.2	5.6	5.4	2
2.2	105.6	125.2	5.8	5.4	2
3.7	105.6	125.2	5.9	5.5	2
2.5	105.6	125.2	5.9	5.5	2
2.5	105.6	125.2	5.8	5.4	2
4.1	105.6	125.2	5.9	5.7	2
3.1	105.7	125.2	5.5	5.6	2
3.7	105.7	125.2	5.7	5.5	2
2.8	105.7	125.2	5.7	5.5	2
3.4	105.7	125.2	5.2	5.1	2
2.2	105.7	125.2	4.9	5.2	2
2.5	105.7	125.2	5.6	5.4	2
1.6	105.7	125.2	4.8	5.1	2
3.4	105.7	125.2	5.3	6.0	2
2.5	105.7	125.2	5.5	5.3	2
1.6	105.7	125.2	4.6	4.4	2
0.9	105.7	125.2	3.8	3.9	2
1.9	105.8	125.3	4.0	5.2	2
3.7	105.9	125.3	4.8	5.3	2
2.8	105.9	125.3	5.3	5.3	2
2.8	105.9	125.3	4.9	5.3	2
1.2	105.9	125.3	4.3	4.9	2
0.0	105.9	125.3	4.1	5.3	2
0.9	105.9	125.3	4.9	5.3	2
1.9	105.9	125.3	5.2	5.3	2
2.5	105.9	125.3	4.8	5.3	2
3.4	105.9	125.3	5.3	5.3	2
2.2	105.9	125.3	5.1	5.4	2
3.4	105.9	125.3	5.5	6.2	2
4.4	105.9	125.3	5.0	5.3	2
2.2	105.9	125.3	4.7	4.9	2
3.1	105.9	125.3	4.8	5.1	2
3.1	105.9	125.3	4.8	4.7	2
4.4	106.7	126.1	5.0	5.3	2
1.9	106.7	126.1	4.8	5.7	2
4.4	106.7	126.1	4.9	6.8	2
5.3	106.7	126.1	4.8	6.1	2
3.1	106.7	126.1	4.1	5.4	2
0.9	106.7	126.1	4.2	4.7	2
0.3	106.7	126.1	4.7	4.7	2
0.3	106.7	126.1	4.4	4.4	2
0.6	106.7	126.1	3.9	3.8	2
0.0	106.7	126.1	4.0	4.1	2
1.6	106.7	126.1	4.2	4.4	2
0.9	106.7	126.1	4.7	4.8	2
0.6	106.7	126.1	4.6	4.7	2
0.6	106.7	126.1	4.6	4.6	2
0.3	106.7	126.1	4.7	4.8	2
0.0	106.7	126.1	4.6	4.9	2
1.9	106.7	126.1	4.3	5.4	2
3.7	106.8	126.1	4.6	5.8	2
2.8	106.8	126.1	5.2	5.9	2
3.1	106.8	126.1	5.7	5.4	2
3.7	106.8	126.1	5.3	5.9	2
3.1	106.8	126.1	5.4	6.1	2
2.2	106.8	126.1	5.4	5.7	2
2.5	106.8	126.1	5.4	6.2	2
3.1	106.8	126.1	5.8	6.5	2
3.4	106.8	126.1	5.5	5.4	2
2.8	106.8	126.1	5.6	5.4	2
2.8	106.8	126.1	5.8	5.4	2
2.8	106.8	126.1	5.1	5.1	2
3.4	106.9	126.6	5.3	5.8	2
2.2	106.9	126.6	5.5	5.4	2
2.2	106.9	126.6	5.3	5.7	2
2.2	106.9	126.6	5.4	5.2	2
1.6	106.9	126.6	5.3	5.2	2
2.5	106.9	126.6	5.1	5.6	2
3.7	107.0	126.6	5.2	5.7	2
1.2	107.0	126.6	5.5	5.5	2
1.9	107.0	126.6	5.5	5.1	2
3.1	107.0	126.6	5.6	5.3	2
3.1	107.0	126.6	5.3	5.2	2
3.7	107.0	126.6	5.2	6.3	2
2.2	107.0	126.6	5.4	5.4	2
3.1	107.0	126.6	5.8	6.4	2
3.7	107.0	126.6	5.6	5.7	2
